site,month,net,a#,f#,m#,nf#,j#,l#,aCpue,fCpue,mCpue,nfCpue,jCpue,lDen
ABY,5,LT1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
ABY,5,LT2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
ABY,6,LT1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
ABY,6,LT2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0.5
ABY,7,LTshallow,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.142857143
ABY,7,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
ABY,8,LTshallow,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.125
ABY,8,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
BLH,5,LTshallow,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1.4
BLH,5,LT1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
BLH,6,LT1,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,4
BLH,6,LT2,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,3.333333333
BLH,7,LTshallow,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0.571428571
BLH,7,LTdeep,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,3.714285714
BLH,8,LTshallow,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.25
BLH,8,LTdeep,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.25
DAG,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
DAG,5,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.2
DAG,6,LTshallow,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,10
DAG,6,LTdeep,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0.666666667
DAG,7,LTshallow,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0.714285714
DAG,7,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
DAG,8,LTshallow,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0.625
DAG,8,LTdeep,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,1.125
HEK,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
HEK,5,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
HEK,6,LTshallow,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0.666666667
HEK,6,LTdeep,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,3.5
HEK,7,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
HEK,7,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
HEK,8,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
HEK,8,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
NTS,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
NTS,5,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.2
NTS,6,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
NTS,6,LTdeep,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.333333333
NTS,7,LTshallow,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.142857143
NTS,7,LTdeep,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.285714286
NTS,8,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
NTS,8,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.125
PEP,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PEP,5,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PEP,6,LTshallow,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,4.166666667
PEP,6,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.166666667
PEP,7,LTshallow,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.142857143
PEP,7,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PEP,8,LTshallow,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.25
PEP,8,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,5,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,6,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,6,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,7,LTshallow,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,1.571428571
PLQ,7,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,8,LTshallow,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.125
PLQ,8,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.125
PYR,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PYR,5,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PYR,6,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PYR,6,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PYR,7,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PYR,7,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.142857143
PYR,8,LTshallow,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0.75
PYR,8,LTdeep,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1.25
TAM,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
TAM,5,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
TAM,6,LTshallow,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,1.833333333
TAM,6,LT1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0.5
TAM,7,LTshallow,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0.857142857
TAM,7,LTdeep,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,1.714285714
TAM,8,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
TAM,8,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
ABY,5,GIL10,17,7,2,8,1,NA,1.224164503,0.504067737,0.144019353,0.576077413,0.072009677,NA
ABY,5,GIL20,25,12,2,11,0,NA,1.883267624,0.90396846,0.15066141,0.828637755,0,NA
ABY,5,GIL30,18,11,4,3,1,NA,1.406036623,0.859244603,0.312452583,0.234339437,0.078113146,NA
ABY,6,GIL10,104,28,59,17,1,NA,8.332128987,2.243265496,4.726880868,1.361982623,0.080116625,NA
ABY,6,GIL20,8,2,3,3,2,NA,0.661974113,0.165493528,0.248240292,0.248240292,0.165493528,NA
ABY,6,GIL30,1,0,0,1,0,NA,0.082987552,0,0,0.082987552,0,NA
ABY,7,GIL10,47,15,5,27,26,NA,4.285714284,1.367781155,0.455927052,2.462006078,2.370820668,NA
ABY,7,GIL20,0,0,0,0,0,NA,0,0,0,0,0,NA
BLH,5,GIL10,10,4,3,3,0,NA,0.72376357,0.289505428,0.217129071,0.217129071,0,NA
BLH,5,GIL20,13,1,1,11,1,NA,0.996168582,0.076628352,0.076628352,0.842911877,0.076628352,NA
BLH,5,GIL30,13,5,5,3,0,NA,1.056910569,0.406504065,0.406504065,0.243902439,0,NA
BLH,6,GIL10,19,4,7,8,3,NA,1.778471139,0.374414977,0.655226209,0.748829953,0.280811233,NA
BLH,6,GIL20,4,0,0,4,2,NA,0.387096774,0,0,0.387096774,0.193548387,NA
BLH,6,GIL30,5,1,2,2,0,NA,0.498338871,0.099667774,0.199335548,0.199335548,0,NA
BLH,7,GIL10,41,7,8,26,6,NA,3.683518204,0.628893352,0.718735259,2.335889593,0.539051444,NA
BLH,7,GIL20,0,0,0,0,0,NA,0,0,0,0,0,NA
DAG,6,GIL10,36,12,5,19,14,NA,2.577565632,0.859188544,0.357995227,1.360381861,1.002386635,NA
DAG,6,GIL20,13,6,1,6,2,NA,0.962962963,0.444444444,0.074074074,0.444444444,0.148148148,NA
DAG,6,GIL30,6,2,0,4,0,NA,0.453972257,0.151324086,0,0.302648171,0,NA
DAG,7,GIL10,52,2,3,47,5,NA,3.056322638,0.117550871,0.176326306,2.762445461,0.293877177,NA
DAG,7,GIL20,13,1,0,12,11,NA,1.15727003,0.089020772,0,1.068249258,0.979228487,NA
HEK,5,GIL10,25,4,3,18,8,NA,2.115655853,0.338504936,0.253878702,1.523272214,0.677009873,NA
HEK,5,GIL20,6,1,0,5,3,NA,0.501392758,0.08356546,0,0.417827298,0.250696379,NA
HEK,5,GIL30,13,1,1,11,11,NA,1.205564143,0.092735703,0.092735703,1.020092736,1.020092736,NA
HEK,6,GIL10,46,13,24,9,6,NA,3.538461538,1,1.846153846,0.692307692,0.461538462,NA
HEK,6,GIL20,7,6,0,1,5,NA,0.570652174,0.489130435,0,0.081521739,0.407608696,NA
HEK,6,GIL30,1,1,0,0,5,NA,0.083449235,0.083449235,0,0,0.417246175,NA
HEK,7,GIL10,36,14,8,14,7,NA,3.046544428,1.184767278,0.677009873,1.184767278,0.592383639,NA
HEK,7,GIL20,0,0,0,0,13,NA,0,0,0,0,1.174698795,NA
NTS,5,GIL10,17,6,4,7,0,NA,1.457142857,0.514285714,0.342857143,0.6,0,NA
NTS,5,GIL20,6,2,2,2,1,NA,0.488466757,0.162822252,0.162822252,0.162822252,0.081411126,NA
NTS,5,GIL30,1,0,0,1,2,NA,0.075949367,0,0,0.075949367,0.151898734,NA
NTS,6,GIL10,4,1,2,1,0,NA,0.315374507,0.078843627,0.157687254,0.078843627,0,NA
NTS,6,GIL20,0,0,0,0,0,NA,0,0,0,0,0,NA
NTS,6,GIL30,0,0,0,0,0,NA,0,0,0,0,0,NA
NTS,7,GIL10,53,2,3,48,7,NA,4.718100892,0.178041543,0.267062315,4.272997034,0.623145401,NA
NTS,7,GIL20,0,0,0,0,8,NA,0,0,0,0,0.740740741,NA
PEP,5,GIL10,11,0,0,11,2,NA,0.674846626,0,0,0.674846626,0.122699387,NA
PEP,5,GIL20,16,2,1,13,2,NA,1.056105611,0.132013201,0.066006601,0.858085809,0.132013201,NA
PEP,5,GIL30,19,6,2,11,1,NA,1.342756184,0.424028269,0.141342756,0.777385159,0.070671378,NA
PEP,6,GIL10,23,9,7,7,5,NA,1.835106383,0.718085107,0.558510638,0.558510638,0.39893617,NA
PEP,6,GIL20,6,0,2,4,3,NA,0.501392758,0,0.167130919,0.334261838,0.250696379,NA
PEP,6,GIL30,1,0,0,1,4,NA,0.084269663,0,0,0.084269663,0.337078652,NA
PEP,7,GIL10,48,9,13,26,8,NA,3.923705723,0.735694823,1.0626703,2.1253406,0.653950954,NA
PEP,7,GIL20,6,1,2,3,4,NA,0.509915014,0.084985836,0.169971671,0.254957507,0.339943343,NA
PLQ,5,GIL10,32,9,18,5,2,NA,2.532428495,0.712245514,1.424491028,0.395691952,0.158276781,NA
PLQ,5,GIL20,8,2,0,6,2,NA,0.648282311,0.162070578,0,0.486211733,0.162070578,NA
PLQ,5,GIL30,1,1,0,0,1,NA,0.082705516,0.082705516,0,0,0.082705516,NA
PLQ,6,GIL10,25,10,9,6,5,NA,2.049180328,0.819672131,0.737704918,0.491803279,0.409836066,NA
PLQ,6,GIL20,0,0,0,0,3,NA,0,0,0,0,0.248962656,NA
PLQ,6,GIL30,0,0,0,0,1,NA,0,0,0,0,0.084626234,NA
PLQ,7,GIL10,127,7,3,117,75,NA,10.64245809,0.586592178,0.251396648,9.804469268,6.284916198,NA
PLQ,7,GIL20,1,0,0,1,16,NA,0.08797654,0,0,0.08797654,1.407624633,NA
PYR,5,GIL10,76,9,31,36,0,NA,5.922058312,0.701296379,2.415576417,2.805185516,0,NA
PYR,5,GIL20,39,4,14,21,3,NA,3.205479451,0.328767123,1.150684931,1.726027397,0.246575342,NA
PYR,5,GIL30,22,1,1,20,4,NA,1.938325991,0.088105727,0.088105727,1.762114537,0.352422907,NA
PYR,6,GIL10,127,24,76,27,1,NA,9.208431764,1.740176081,5.510557591,1.957698092,0.072507337,NA
PYR,6,GIL20,21,7,10,4,2,NA,1.603958535,0.534652845,0.763789779,0.305515912,0.152757956,NA
PYR,6,GIL30,2,0,1,1,1,NA,0.156311843,0,0.078155921,0.078155921,0.078155921,NA
PYR,7,GIL10,46,6,2,38,9,NA,4.119402984,0.537313433,0.179104478,3.402985074,0.805970149,NA
PYR,7,GIL20,4,0,1,3,2,NA,0.373250389,0,0.093312597,0.279937792,0.186625194,NA
TAM,5,GIL10,40,0,13,27,0,NA,2.711301824,0,0.881173093,1.830128731,0,NA
TAM,5,GIL20,2,0,0,2,0,NA,0.140615981,0,0,0.140615981,0,NA
TAM,5,GIL30,2,0,0,2,0,NA,0.148148148,0,0,0.148148148,0,NA
TAM,6,GIL10,10,3,2,5,8,NA,0.779220779,0.233766234,0.155844156,0.38961039,0.623376624,NA
TAM,6,GIL20,9,4,3,2,7,NA,0.733695652,0.326086956,0.244565217,0.163043478,0.570652174,NA
TAM,6,GIL30,8,1,1,6,0,NA,0.676056338,0.084507042,0.084507042,0.507042254,0,NA
TAM,7,GIL10,69,6,3,60,12,NA,6.132414076,0.533253398,0.266626699,5.332533979,1.066506796,NA
TAM,7,GIL20,41,1,0,40,25,NA,3.916836639,0.095532601,0,3.821304038,2.388315024,NA
ABY,6,HOPS,1,0,1,0,0,NA,0.073223728,0,0.073223728,0,0,NA
ABY,7,HOPS,7,0,1,6,18,NA,0.582524272,0,0.083217753,0.499306519,1.497919556,NA
BLH,7,HOPS,1,0,1,0,0,NA,0.084705508,0,0.084705508,0,0,NA
DAG,6,HOPS,0,0,0,0,0,NA,0,0,0,0,0,NA
DAG,7,HOPS,0,0,0,0,9,NA,0,0,0,0,0.504691725,NA
HEK,6,HOPS,0,0,0,0,3,NA,0,0,0,0,0.216086435,NA
HEK,7,HOPS,0,0,0,0,25,NA,0,0,0,0,1.976284585,NA
NTS,6,HOPS,1,0,0,1,0,NA,0.050209205,0,0,0.050209205,0,NA
NTS,7,HOPS,0,0,0,0,0,NA,0,0,0,0,0,NA
PEP,6,HOPS,87,48,8,31,3,NA,6.289156626,3.469879518,0.578313253,2.240963855,0.21686747,NA
